dataset_key,imbalance_ratio,training_size,seed,method,generated_count,real_minority_count,real_majority_count,roc_auc,pr_auc,balanced_accuracy,f1,brier,n_samples,n_features,n_numeric_features,n_categorical_features,original_imbalance_ratio,minority_size,preprocessed_dim,missingness_rate,baseline_roc_auc
adult,2.0,512,1,direct_displacement,171,171,342,0.8763918711984136,0.7054077492657428,0.7809113173121667,0.6411141237367513,0.14962619488112786,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,512,1,latent_smote,171,171,342,0.8771985084867264,0.7105375483706806,0.7738995770415693,0.6430460074034903,0.13665299947483442,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,512,1,latent_displacement,171,171,342,0.8779912516911508,0.7142923944821259,0.7762710899015803,0.6460807600950119,0.13563998033409247,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,1024,1,real_balanced,0,682,682,0.9013114735809495,0.7666446259266473,0.8152967824935158,0.6725745195074232,0.13942246405045397,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,1024,1,direct_smote,341,341,682,0.8913427498546495,0.7518323323009359,0.7952776209398122,0.6678667866786678,0.12877339238440608,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,1024,1,direct_displacement,341,341,682,0.8921825103319018,0.7554707234905608,0.8008968950995643,0.6710212284888833,0.12907004539204997,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,1024,1,latent_smote,341,341,682,0.8906544041866279,0.7509123065842948,0.789319169931094,0.6671128363003614,0.1224241245050725,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,1024,1,latent_displacement,341,341,682,0.8899239284833889,0.7523305903015552,0.7857170455231086,0.6624614145752248,0.12243191910997966,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,2048,1,real_balanced,0,1366,1366,0.9079156156760271,0.7814612876062623,0.8223642270378259,0.6819074009929569,0.12944067641799575,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,2048,1,direct_smote,683,683,1366,0.900366637495061,0.7737289170612625,0.8048888598668287,0.6745488487865589,0.12177387810794367,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,2048,1,direct_displacement,683,683,1366,0.902655847738445,0.7749612337308134,0.8140229278483551,0.6837648791262732,0.1217639787854145,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,2048,1,latent_smote,683,683,1366,0.9024404894381678,0.7735182556327274,0.7991342527242256,0.6827688571043045,0.11112946735479604,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
adult,2.0,2048,1,latent_displacement,683,683,1366,0.9015750005974712,0.7742475026748104,0.797618415848242,0.6808050790220181,0.11164514771447774,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9292367015066151
