dataset_key,imbalance_ratio,segment,left_method,right_method,mean_delta,ci_low,ci_high,n,indistinguishable
adult,10.0,mid,latent_displacement,real_balanced,-0.0279113163568951,-0.03145971110468063,-0.02465694937020565,10,False
bank_marketing,2.0,early,latent_displacement,latent_smote,0.0004131658773203095,-0.0021994847928178533,0.003189776571867777,10,True
bank_marketing,2.0,early,direct_displacement,direct_smote,-0.0005058385114211861,-0.003272573136791935,0.0021161693537377186,10,True
bank_marketing,2.0,early,latent_smote,direct_smote,0.0005783283218902425,-0.0016585550326741944,0.002968595348867346,10,True
bank_marketing,2.0,early,latent_displacement,direct_displacement,0.001497332710631738,-0.0011975088095493181,0.0041552871119446165,10,True
bank_marketing,2.0,early,direct_smote,real_balanced,-0.009463261052913929,-0.012325584496939924,-0.006923130049881888,10,True
bank_marketing,2.0,early,direct_displacement,real_balanced,-0.009969099564335115,-0.0121025274682377,-0.007573446702535699,10,True
bank_marketing,2.0,early,latent_smote,real_balanced,-0.008884932731023688,-0.010589637805583984,-0.0072417698798774395,10,True
bank_marketing,2.0,early,latent_displacement,real_balanced,-0.008471766853703377,-0.011567646472058258,-0.005524157531193307,10,True
bank_marketing,2.0,full,latent_displacement,latent_smote,0.00010257740905317281,-0.0005655144473066103,0.0007303132788100127,10,True
bank_marketing,2.0,full,direct_displacement,direct_smote,-0.00018019352958188463,-0.0007592541348198515,0.0003374568659278267,10,True
bank_marketing,2.0,full,latent_smote,direct_smote,0.00028044606675147187,-0.0003062819399157579,0.0008548279747376967,10,True
bank_marketing,2.0,full,latent_displacement,direct_displacement,0.0005632170053865293,6.299055528992406e-06,0.0010638454963661972,10,True
bank_marketing,2.0,full,direct_smote,real_balanced,-0.006743203914763629,-0.007438616694126856,-0.005942149067498695,10,True
bank_marketing,2.0,full,direct_displacement,real_balanced,-0.006923397444345514,-0.007386011272445692,-0.006292470761583787,10,True
bank_marketing,2.0,full,latent_smote,real_balanced,-0.006462757848012157,-0.007057351684371159,-0.005816869419099561,10,True
bank_marketing,2.0,full,latent_displacement,real_balanced,-0.006360180438958985,-0.00717764843321395,-0.005650696967461733,10,True
bank_marketing,2.0,mid,latent_displacement,latent_smote,-0.0005210465441384704,-0.001374476759146428,0.0001731100753094533,10,True
bank_marketing,2.0,mid,direct_displacement,direct_smote,-0.00024205446492456817,-0.0009256575194348071,0.0005134869948785679,10,True
bank_marketing,2.0,mid,latent_smote,direct_smote,0.0008787961354971508,0.00012044118087287957,0.0015163780774979597,10,True
bank_marketing,2.0,mid,latent_displacement,direct_displacement,0.0005998040562832485,-4.5896238549530954e-05,0.0013155571629036573,10,True
bank_marketing,2.0,mid,direct_smote,real_balanced,-0.00790679773283164,-0.008696642835546088,-0.007047978449628394,10,True
bank_marketing,2.0,mid,direct_displacement,real_balanced,-0.008148852197756207,-0.008660610160144262,-0.007635848356482833,10,True
bank_marketing,2.0,mid,latent_smote,real_balanced,-0.007028001597334488,-0.007690931232369561,-0.006364854482345753,10,True
bank_marketing,2.0,mid,latent_displacement,real_balanced,-0.007549048141472958,-0.00834012703354603,-0.0067177577299008355,10,True
bank_marketing,3.0,early,latent_displacement,latent_smote,0.0006133276660964416,-0.002423884416618898,0.0038641399178819453,10,True
bank_marketing,3.0,early,direct_displacement,direct_smote,-0.003468114084867213,-0.006052185475585153,-0.001038774979022728,10,True
bank_marketing,3.0,early,latent_smote,direct_smote,-0.0013038788006775382,-0.004249462902773269,0.0019077393151514341,10,True
bank_marketing,3.0,early,latent_displacement,direct_displacement,0.0027775629502861166,-0.00015631432494090706,0.00496387692168235,10,True
bank_marketing,3.0,early,direct_smote,real_balanced,-0.019859918182818292,-0.027221190239178805,-0.012482551524795583,10,False
bank_marketing,3.0,early,direct_displacement,real_balanced,-0.023328032267685504,-0.03073696820923157,-0.015762009970380606,10,False
bank_marketing,3.0,early,latent_smote,real_balanced,-0.021163796983495832,-0.02740407986474179,-0.014624693653804725,10,False
bank_marketing,3.0,early,latent_displacement,real_balanced,-0.02055046931739939,-0.026023268993727176,-0.015007140208188328,10,False
bank_marketing,3.0,full,latent_displacement,latent_smote,-0.00020881205886159605,-0.000911767056605729,0.0005265184305240127,10,True
bank_marketing,3.0,full,direct_displacement,direct_smote,0.0012086214849553524,0.0005247544776056021,0.0019866305376806323,10,True
bank_marketing,3.0,full,latent_smote,direct_smote,0.00025370697112754305,-0.00013434924201929487,0.0006769776102578944,10,True
bank_marketing,3.0,full,latent_displacement,direct_displacement,-0.0011637265726894054,-0.001999231855805998,-0.00044244074404532215,10,True
bank_marketing,3.0,full,direct_smote,real_balanced,-0.012158003971660513,-0.012891451800593687,-0.011443466727263788,10,False
bank_marketing,3.0,full,direct_displacement,real_balanced,-0.010949382486705161,-0.011904478632792906,-0.009869852680688358,10,False
bank_marketing,3.0,full,latent_smote,real_balanced,-0.01190429700053297,-0.012633584065952032,-0.011151169914569003,10,False
bank_marketing,3.0,full,latent_displacement,real_balanced,-0.012113109059394566,-0.012721054814558574,-0.01144138603970634,10,False
bank_marketing,3.0,mid,latent_displacement,latent_smote,-0.00013878162859118915,-0.0014223180633425986,0.0009323882949216231,10,True
bank_marketing,3.0,mid,direct_displacement,direct_smote,0.0014056035638004727,0.0005451013373721922,0.0022950441494170594,10,True
bank_marketing,3.0,mid,latent_smote,direct_smote,0.00031654962426492795,-0.0003502433763116028,0.0010536556409481296,10,True
bank_marketing,3.0,mid,latent_displacement,direct_displacement,-0.0012278355681267338,-0.002505645074609763,-6.704919463631371e-06,10,True
